Feed Manufacturers,street,city,state,postal_code,latitude,longitude,,,,,,,,,,,,,,,
CWT Farms International Inc,470 Moreno St,Gainesville,Georgia,30501,34.289678,-83.8168782,,,,,,,,,,,,,,,
"White Oak Mills, Inc.",419 W High St,Elizabethtown,Pennsylvania,17022,40.1490344,-76.6126004,,,,,,,,,,,,,,,
Ainsworth Feed Processing,87012 NE-7,Ainsworth,Nebraska,69210,42.4353802,-99.8711557,,,,,,,,,,,,,,,
Great Plains Processing - Yankton,2011 Alumax Rd,Yankton,South Dakota,57078,42.8860359,-97.3609237,,,,,,,,,,,,,,,
Countryside Feed LLC,101 Santa Fe St,Hillsboro,Kansas,67063,38.361799,-97.184114,,,,,,,,,,,,,,,
Charlees Fly Spray,4905 S State Rd 7,Wellington,Florida,33449,26.6078261,-80.2057438,,,,,,,,,,,,,,,
MICOBE Inc,1302 E Main St,Hamilton,Texas,76531,31.6983872,-98.1075702,,,,,,,,,,,,,,,
Wenger Feeds Mount Joy Mill,230 S Market Ave #298,Mount Joy,Pennsylvania,17552,40.1125008,-76.5227245,,,,,,,,,,,,,,,
Backyard Chicken Feed,343 Pinkerton Rd,Mount Joy,Pennsylvania,17552,40.1014485,-76.5054041,,,,,,,,,,,,,,,
"Integrated Proteins, LLC",4447 State Hwy B,Purdy,Missouri,65734,36.8164376,-93.9861971,,,,,,,,,,,,,,,
"NutraAg, LLC",12747 Market Rd,Versailles,Missouri,65084,38.4937609,-92.7214486,,,,,,,,,,,,,,,
JDH,106 Central Ave,Wiggins,Colorado,80654,40.2320174,-104.0751399,,,,,,,,,,,,,,,
Birdsong Peanuts,1515 Industrial Dr,Ashburn,Georgia,31714,31.6827678,-83.6376342,,,,,,,,,,,,,,,
"Integrated Proteins, LLC",902 Lafayette St,St Joseph,Missouri,64503,39.7577703,-94.8489128,,,,,,,,,,,,,,,
BioZyme Inc.,6010 Stockyards Expy,St Joseph,Missouri,64504,39.7149637,-94.8778121,,,,,,,,,,,,,,,
Stevens Feed of Manheim,63 New Charlotte St,Manheim,Pennsylvania,17545,40.158683,-76.391668,,,,,,,,,,,,,,,
Feed Products South Inc,1024 Eagle Park Rd,Madison,Illinois,62060,38.6571884,-90.1529693,,,,,,,,,,,,,,,
Family Fresh Nutrition,223 N Guadalupe St #620,Santa Fe,New Mexico,87501,35.6906057,-105.944032,,,,,,,,,,,,,,,
Cold Copper Commodities Company LLC,1100 S Water St,Burnet,Texas,78611,30.7491846,-98.2296152,,,,,,,,,,,,,,,
Mountaire Farms Feed Mill - Frankford,11 Daisey St,Frankford,Delaware,19945,38.518616,-75.238291,,,,,,,,,,,,,,,
Stevens Feed Mill of Rural Retreat,208 E Baumgardner Ave,Rural Retreat,Virginia,24368,36.8933405,-81.2734724,,,,,,,,,,,,,,,
Tyson Feed Mill,4209 Johnson Rd,Springdale,Arkansas,72762,36.1480102,-94.1568069,,,,,,,,,,,,,,,
Protein Products Inc,1042 Hwy 3,Sunflower,Mississippi,38778,33.4921035,-90.5154571,,,,,,,,,,,,,,,
Fishbelt Feeds Inc,33 Moorhead Itta Bena Rd,Moorhead,Mississippi,38761,33.4528274,-90.4904403,,,,,,,,,,,,,,,
MARS PETCARE - IAMS,3700 State Rte 65,Leipsic,Ohio,45856,41.127598,-83.9600187,,,,,,,,,,,,,,,
Nelson Tubs LLC/TechMix LLC,961 1st St,Dassel,Minnesota,55325,45.0880368,-94.3086879,,,,,,,,,,,,,,,
MFA Plant Foods Division,1201 Beck Ln,Lebanon,Missouri,65536,37.6693516,-92.6771523,,,,,,,,,,,,,,,
LaBudde Group,8586 Sanilac Rd,Vassar,Michigan,48768,43.4082374,-83.6436767,,,,,,,,,,,,,,,
Pilgrim's Pride Corporation,1 Waco School Rd,Tallapoosa,Georgia,30176,33.7128555,-85.205002,,,,,,,,,,,,,,,
River valley Organics,277 Co Rd 3020,Hartman,Arkansas,72840,35.4963841,-93.663997,,,,,,,,,,,,,,,
WCleckLLC,,,,,46.423669,-129.9427086,,,,,,,,,,,,,,,
Koch Foods Feedmill,278 Herring Rd,Morton,Mississippi,39117,32.3616791,-89.6205924,,,,,,,,,,,,,,,
Old Mill Inc.,79 Walnut St,St Albans City,Vermont,5478,44.817648,-73.095456,,,,,,,,,,,,,,,
Eastern Oregon Processing,77455 Paterson Ferry Rd,Irrigon,Oregon,97844,45.828133,-119.5423185,,,,,,,,,,,,,,,
Fermented Nutrition,407 4th St,Luxemburg,Wisconsin,54217,44.5421333,-87.7105178,,,,,,,,,,,,,,,
Livestock Nutrition Center (LNC) - Tenaha,7665 US-96 North,Tenaha,Texas,75974,31.9207849,-94.230205,,,,,,,,,,,,,,,
Gancs Farms,156 First Creek Rd,Sissonville,West Virginia,25320,38.535341,-81.645981,,,,,,,,,,,,,,,
Chemlock Nutrition,9100 W Chester Towne Centre Rd Drive,West Chester Township,Ohio,45069,39.3264812,-84.4302392,,,,,,,,,,,,,,,
Skretting,712 E 2400 N,Tooele,Utah,84074,40.5720036,-112.2865324,,,,,,,,,,,,,,,
Stallard & Barrett Inc,375 County Rd 2500,Crete,Nebraska,68333,40.6577499,-96.9142692,,,,,,,,,,,,,,,
Darling International,1423 Beaver Channel Pkwy,Clinton,Iowa,52732,41.8145101,-90.2205862,,,,,,,,,,,,,,,
Seaboard Foods - Optima Feed Mill,1641 Mile 38 Optima Town,Guymon,Oklahoma,73942,36.7712976,-101.3426636,,,,,,,,,,,,,,,
AgPack Nutrition LLC,1392 Lloyd Cotton Sloan,Westville,Oklahoma,,35.9914614,-94.5692115,,,,,,,,,,,,,,,
Tyson Foods Feed Mill- Westville,Ross Swimmer Rd #1,Westville,Oklahoma,74965,36.039936,-94.5781579,,,,,,,,,,,,,,,
Cattle-Lac Liquids,1800 N Dixon St,Gainesville,Texas,76240,33.6417622,-97.145317,,,,,,,,,,,,,,,
Gothenburg Feed Products,1405 2nd Ave,Gothenburg,Nebraska,69138,40.9316223,-100.1680876,,,,,,,,,,,,,,,
"ReConserve of Texas, Inc.",3610 Duncanville Rd,Dallas,Texas,75236,32.698983,-96.906631,,,,,,,,,,,,,,,
Hallway Feeds,251 W Loudon Ave,Lexington,Kentucky,40508,38.063767,-84.4890779,,,,,,,,,,,,,,,
"Thee Old Mill, LLC",507 College Ave,Adrian,Michigan,49221,41.8972834,-84.0428033,,,,,,,,,,,,,,,
Sunshine Mills Inc,500 6th St SW,Red Bay,Alabama,35582,34.4449061,-88.1495822,,,,,,,,,,,,,,,
Hill's Pet Nutrition,320 NE Crane St,Topeka,Kansas,66603,39.0599301,-95.6652253,,,,,,,,,,,,,,,
CFE Feed Mill,262 S Central Ave,Hartley,Iowa,51346,43.1777071,-95.4767563,,,,,,,,,,,,,,,
Diamond W Natural Feeds,219 6th St,Rosebud,Texas,76570,31.0708084,-96.9788051,,,,,,,,,,,,,,,
Columbia Farms of Georgia - House of Raeford Farms,4949 GA-90,Oglethorpe,Georgia,31068,32.3330104,-84.1108011,,,,,,,,,,,,,,,
MarketingLLC feeding the poor and saving lives internationally,760 Ave C,Westwego,Louisiana,70094,29.9033519,-90.1442934,,,,,,,,,,,,,,,
ADM Specialty Grains,107 W Ithaca St,Muleshoe,Texas,79347,34.2331272,-102.733274,,,,,,,,,,,,,,,
Sun Classics LLC,402 W Fire Tower Rd,Winterville,North Carolina,28590,35.5489597,-77.393096,,,,,,,,,,,,,,,
Buck's@ Sunrise,243 Sunrise Rd,Petal,Mississippi,39465,31.3104169,-89.2175829,,,,,,,,,,,,,,,
El Granero Feed & Grain,11776 Sheep Creek Rd,Phelan,California,92371,34.46402,-117.5734078,,,,,,,,,,,,,,,
Agridyne LLC,520 N 1st St,Nebraska City,Nebraska,68410,40.682494,-95.847647,,,,,,,,,,,,,,,
Nichols,247 Ranch Rd 3334,Saragosa,Texas,79780,31.1093739,-103.6411685,,,,,,,,,,,,,,,
J & J Feeds & Needs,135 Allegheny Blvd,Brookville,Pennsylvania,15825,41.1576415,-79.0992357,,,,,,,,,,,,,,,
Adkins mill farm,142 Chapel Rd,Louisa,Kentucky,41230,38.1254455,-82.6609773,,,,,,,,,,,,,,,
Belstra Milling Co,424 15th St SE,De Motte,Indiana,46310,41.1885161,-87.1928171,,,,,,,,,,,,,,,
Wauregan Grain Co,35 Depot Rd,Wauregan,Connecticut,6387,41.7421089,-71.8962728,,,,,,,,,,,,,,,
Ramirez Ranch,22544 Callaway Rd,Perris,California,92570,33.7950487,-117.2697931,,,,,,,,,,,,,,,
Poulin Grain Inc,3916 US-5,Derby,Vermont,5829,44.9540865,-72.1454442,,,,,,,,,,,,,,,
Star Milling Co.,23901 Water St,Perris,California,92570,33.8180734,-117.2448222,,,,,,,,,,,,,,,
Green Mountain Feeds,65 Main St,Bethel,Vermont,5032,43.828921,-72.6316208,,,,,,,,,,,,,,,
Tyson Foods Feed Mill- Franklin,3150 Nashville Rd,Franklin,Kentucky,42134,36.6795121,-86.5594997,,,,,,,,,,,,,,,
SmartFeeds,,,,,46.423669,-129.9427086,,,,,,,,,,,,,,,
"Nutrition 101, LLC",4791 900 S,Pendleton,Indiana,46064,39.97292,-85.7632195,,,,,,,,,,,,,,,
Celebration Feeds,10321 Rockvale Rd,Rockvale,Tennessee,37153,35.7459341,-86.5499803,,,,,,,,,,,,,,,
JDH,1999 N Frontage Rd,Wendell,Idaho,83355,42.7660673,-114.6978171,,,,,,,,,,,,,,,
J D Heiskell & Co,,Wendell,Idaho,,42.7657808,-114.6981442,,,,,,,,,,,,,,,
Muenster Milling FD,2269 Masch Branch Rd,Denton,Texas,76207,33.2359234,-97.1990648,,,,,,,,,,,,,,,
Eastland Feed And Grain,600 W 17th St,Monroe,Wisconsin,53566,42.5936746,-89.6640804,,,,,,,,,,,,,,,
Anderson Farms,810 Mansfield Rd,Monroe,Louisiana,71202,32.306976,-92.0997019,,,,,,,,,,,,,,,
JDH,11518 Rd 120,Pixley,California,93256,35.998488,-119.302503,,,,,,,,,,,,,,,
Tyson Foods Feed Mill- South Fulton,5100 Tim Rice Rd,South Fulton,Tennessee,38257,36.4856872,-88.899717,,,,,,,,,,,,,,,
Mid South Milling,1717 Ballman Rd,Fort Smith,Arkansas,72901,35.4034393,-94.413882,,,,,,,,,,,,,,,
Bachoco USA Feed Mill - Fort Smith,700 B St S,Fort Smith,Arkansas,72901,35.38048,-94.4266614,,,,,,,,,,,,,,,
Pilgrim's Feed Mill,2842 FM1275,Nacogdoches,Texas,75961,31.5712479,-94.6479842,,,,,,,,,,,,,,,
Livestock Nutrition Center,301 SE Broadway,Keota,Oklahoma,74941,35.2532136,-94.9196806,,,,,,,,,,,,,,,
"Sunbird, Inc. (Specialty Plant)",1815 US-14,Huron,South Dakota,57350,44.372091,-98.184599,,,,,,,,,,,,,,,
Peco Farms Inc,,Gordo,Alabama,35466,33.318799,-87.9012316,,,,,,,,,,,,,,,
Rover's Choice,3750 Harris St,Eureka,California,95503,40.7799309,-124.1261513,,,,,,,,,,,,,,,
"Integrated Proteins, LLC",4001 Oscar Nelson Jr Dr Building D,Baytown,Texas,77523,29.7175696,-94.9189607,,,,,,,,,,,,,,,
Pilgrim's Pride Corporation,478 highway 369 north,Nashville,Arkansas,71852,34.0589332,-93.858497,,,,,,,,,,,,,,,
Scoular Live Oak,9282 97 Ln,Live Oak,Florida,32060,30.281967,-82.9475525,,,,,,,,,,,,,,,
Ceres Solutions,1484 E Washington St,White Cloud,Michigan,49349,43.5589635,-85.7650977,,,,,,,,,,,,,,,
Kirtland New Mexico,4381 US-64,Kirtland,New Mexico,87417,36.7334318,-108.3274301,,,,,,,,,,,,,,,
Braswell Family Farms Mill,105 E Cross St,Nashville,North Carolina,27856,35.9687875,-77.967257,,,,,,,,,,,,,,,
Wayne-Sanderson Farms South Alabama Feed Mill,1185 Co Rd 18,Ozark,Alabama,36360,31.373541,-85.5934994,,,,,,,,,,,,,,,
Tyson Foods Feed Mill- Crewe,1938 Patrick Henry Hwy,Jetersville,Virginia,23083,37.265276,-78.135087,,,,,,,,,,,,,,,
Tyson Feed Mill,8201 Elkin Hwy,Roaring River,North Carolina,28669,36.2047202,-81.0063037,,,,,,,,,,,,,,,
Star Blends Sparta Mill,1919 Riley Rd,Sparta,Wisconsin,54656,43.9365729,-90.783359,,,,,,,,,,,,,,,
Star Blends Office,2350 Commercial Dr #1,Sparta,Wisconsin,54656,43.9409928,-90.7793937,,,,,,,,,,,,,,,
Kothmann's Feed & Country Store,906 US-190,Menard,Texas,76859,30.9253714,-99.79929,,,,,,,,,,,,,,,
Pilgrim's Pride Feed Mill,979 Bradford St Ext,Gainesville,Georgia,30501,34.2886412,-83.816914,,,,,,,,,,,,,,,
KALMBACH FEEDS DBA WARE MILLING,150 Ware Dr,Houston,Mississippi,38851,33.9182812,-89.0167555,,,,,,,,,,,,,,,
Tyson Foods Local Grain Services,2200 W Don Tyson Pkwy,Springdale,Arkansas,72762,36.1546745,-94.154663,,,,,,,,,,,,,,,
Odon Feed & Grain Inc.,500 S East St,Odon,Indiana,47562,38.8383161,-86.9880549,,,,,,,,,,,,,,,
Peco Foods,318 N Locust Pl,Newark,Arkansas,72562,35.6941878,-91.4409487,,,,,,,,,,,,,,,
Furst-McNess Company - Corporate Office,1252 Bell Valley Rd Suite 220,Rockford,Illinois,61108,42.2568055,-88.9659895,,,,,,,,,,,,,,,
Perdue AgriBusiness - Binghamton Blending Protein Plant,44 Montgomery St,Binghamton,New York,13901,42.1103014,-75.8947463,,,,,,,,,,,,,,,
Purina animal nutrition llc,,Russell,Kansas,67665,38.8983437,-98.842652,,,,,,,,,,,,,,,
Sunshine Mills Inc,100 Sunshine Dr,Halifax,Virginia,24558,36.7617765,-78.9245302,,,,,,,,,,,,,,,
Crystal Farms Inc,3611 Old Oakwood Rd,Oakwood,Georgia,30566,34.2363714,-83.8760816,,,,,,,,,,,,,,,
Ag Processing Aberdeen,4815 8th Ave NE,Aberdeen,South Dakota,57401,45.4729576,-98.4155044,,,,,,,,,,,,,,,
American Family Feed Company,960 Sixth St,Norco,California,92860,33.9376687,-117.5423401,,,,,,,,,,,,,,,
Zink Family Farms and Feed (Non-GMO Animal Feeds),5068 National Rd,Clayton,Ohio,45315,39.8729816,-84.3509319,,,,,,,,,,,,,,,
Bio-Vet Inc,300 Ernie Dr,Barneveld,Wisconsin,53507,43.004976,-89.8999066,,,,,,,,,,,,,,,
Phoenix Feeds & Nutrition,5482 Ethan Allen Hwy,New Haven,Vermont,5472,44.1249313,-73.1837921,,,,,,,,,,,,,,,
Sanderson Farms Feed Mill,"3130 SE, East Loop 564",Mineola,Texas,75773,32.6499519,-95.4687652,,,,,,,,,,,,,,,
Mid-South Feeds Inc,421 Market St,Alma,Georgia,31510,31.5380298,-82.4698021,,,,,,,,,,,,,,,
Howlett Farms - Geneva Mill,4830 Pre Emption Rd,Geneva,New York,14456,42.7927474,-77.0085372,,,,,,,,,,,,,,,
Denkavit USA,20 Eagle Dr,Auburn,New York,13021,42.9216948,-76.6127216,,,,,,,,,,,,,,,
Lewiston Feed & Produce,105 E Main St,Lewiston,Minnesota,55952,43.9839985,-91.867354,,,,,,,,,,,,,,,
LF Feeds LLC,510 Tomahawk Ln,Bismarck,Arkansas,71929,34.3395962,-93.170393,,,,,,,,,,,,,,,
Darling Ingredients Inc. - Darpro Solutions,834 FM 227 East,Grapeland,Texas,75844,31.5005236,-95.4617546,,,,,,,,,,,,,,,
Central Mink Foods Inc,651 S Whelen Ave,Medford,Wisconsin,54451,45.1300727,-90.3435053,,,,,,,,,,,,,,,
"Quality Plus Feeds, Inc.",2033 Locust St,St Paul,Iowa,52657,40.7704575,-91.5188788,,,,,,,,,,,,,,,
Premier Feeds,11039 Hazelgreen Rd NE,Silverton,Oregon,97381,45.0107626,-122.8337178,,,,,,,,,,,,,,,
Heartland Organics LLC,302 E Lafayette St,LaGrange,Indiana,46761,41.6426407,-85.4143612,,,,,,,,,,,,,,,
"Koffmann Industries, LLC",11027 S Pikes Peak Dr STE 205,Parker,Colorado,80138,39.5166023,-104.7627308,,,,,,,,,,,,,,,
Vit-A-Zine Farm Supply,624 N Pennsylvania Ave,Lawson,Missouri,64062,39.4421294,-94.2036745,,,,,,,,,,,,,,,
Associated Feed,2944 Geer Rd,Hughson,California,95326,37.5903342,-120.8463819,,,,,,,,,,,,,,,
Strauss Feeds,W7507 Provimi Rd,Watertown,Wisconsin,53098,43.2192294,-88.7670777,,,,,,,,,,,,,,,
"Integrated Proteins, LLC",1333 NW Vivion Rd Suite 120,Kansas City,Missouri,64118,39.1819362,-94.599892,,,,,,,,,,,,,,,
Miller poultry,19227 Co Rd 146,New Paris,Indiana,46553,41.4936594,-85.8341421,,,,,,,,,,,,,,,
Cowboy's Choice Feeds,1131 CA-162,Butte City,California,95920,39.4610492,-121.9929121,,,,,,,,,,,,,,,
Pink Organic,700 Railroad Ave,Slaton,Texas,79364,33.4443188,-101.6428956,,,,,,,,,,,,,,,
"Zutat Feed Solutions, LLC",7794 N 3350 E Rd,Chatsworth,Illinois,60921,40.7438831,-88.2868719,,,,,,,,,,,,,,,
Fermentation Experts Inc,1201 N Ellis Rd #7055,Sioux Falls,South Dakota,57107,43.5604312,-96.8318426,,,,,,,,,,,,,,,
Rio Ranch Supply Co,816 Northwood Dr,Redwood Falls,Minnesota,56283,44.5470028,-95.0903652,,,,,,,,,,,,,,,
Rice Bran,,Hermitage,Arkansas,71647,33.4481989,-92.1648409,,,,,,,,,,,,,,,
CPC Carolina Distributing,1006 N George St,Goldsboro,North Carolina,27530,35.3952806,-77.9948252,,,,,,,,,,,,,,,
Feed Genius,304 Mill Ave,Fulda,Minnesota,56131,43.8669798,-95.5949354,,,,,,,,,,,,,,,
"Redeemer Feed, LLC",10 Industrial Blvd,Eden,Texas,76837,31.2307296,-99.8409992,,,,,,,,,,,,,,,
Golden Egg,340 Tower St,Gaylord,Minnesota,55334,44.5546565,-94.1987757,,,,,,,,,,,,,,,
Superior Ag Feed Mill,21419 County Rd 400 E,Dale,Indiana,47523,38.1965599,-86.9750976,,,,,,,,,,,,,,,
Great Plains Alfalfa,70036 NW 30th St,Pratt,Kansas,67124,37.6901168,-98.8686065,,,,,,,,,,,,,,,
Butterball Feed Mill,,Yellville,Arkansas,72687,36.2538594,-92.7379014,,,,,,,,,,,,,,,
Dodgeville Agri-Service Inc,208 King St,Dodgeville,Wisconsin,53533,42.975387,-90.136146,,,,,,,,,,,,,,,
Browns Mill LLC,,,,,37.065328,-85.9786956,,,,,,,,,,,,,,,
Mountaire Feed Mills,175 Morris Farm Rd,Candor,North Carolina,27229,35.2988474,-79.7162624,,,,,,,,,,,,,,,
Pilgrim's Pride Natchitoches Feed Mill,7088 LA-1,Natchitoches,Louisiana,71457,31.7198928,-93.0751026,,,,,,,,,,,,,,,
Johnson Growers,548 S Rd I,Johnson City,Kansas,67855,37.5690002,-101.6911729,,,,,,,,,,,,,,,
Calf Services,1717 N Shirk Rd,Visalia,California,93291,36.3449794,-119.3683802,,,,,,,,,,,,,,,
Miller Feed Services,1604 S Broadway,Miller,South Dakota,57362,44.4992737,-98.9863705,,,,,,,,,,,,,,,
High Rack Deer Feeders,180 E Division St,Mt. Juliet,Tennessee,37122,36.196677,-86.5163524,,,,,,,,,,,,,,,
CHS Nutrition,30797 Feedville Rd,Hermiston,Oregon,97838,45.8063799,-119.2940761,,,,,,,,,,,,,,,
Bentoli,2101 E St Elmo Rd,Austin,Texas,78744,30.2099444,-97.7489818,,,,,,,,,,,,,,,
Cargill Animal Nutrition Feed Mill,1510 Hathaway Dr,Owosso,Michigan,48867,43.003025,-84.1942291,,,,,,,,,,,,,,,
Re Cycle To Conserve Inc,1163 E Belmont St,Ontario,California,91761,34.0528481,-117.6304794,,,,,,,,,,,,,,,
Kalmbach Feeds of Pennsylvania,908 Mt Rock Rd,Shippensburg,Pennsylvania,17257,40.0109855,-77.5411166,,,,,,,,,,,,,,,
Furst-McNess Company,"W, 9077 Schutz Rd",Lodi,Wisconsin,53555,43.3385246,-89.4536132,,,,,,,,,,,,,,,
MFA Feed Mill - Gerald,200 W Springfield Rd,Gerald,Missouri,63037,38.4008139,-91.3332686,,,,,,,,,,,,,,,
"Heritage Cooperative, Inc",3770 Renkenberger Rd,Columbiana,Ohio,44408,40.9229316,-80.7225036,,,,,,,,,,,,,,,
Star Blends Chippewa Falls Mill & Office,2093 Commerce Pkwy,Chippewa Falls,Wisconsin,54729,44.9653361,-91.3668465,,,,,,,,,,,,,,,
River Country Co-op Feed Mill,N636 Railroad Ave,Sheldon,Wisconsin,54766,45.3116029,-90.9570089,,,,,,,,,,,,,,,
Gerber & Sons Inc,201 E Main St,Baltic,Ohio,43804,40.4398048,-81.7022775,,,,,,,,,,,,,,,
La Junta Milling & Elevator Co,100 Smithland Ave,La Junta,Colorado,81050,37.9877334,-103.5393272,,,,,,,,,,,,,,,
Custom Feed Services Corp,2100 N 13th St,Norfolk,Nebraska,68701,42.0575561,-97.4259643,,,,,,,,,,,,,,,
Ovid Elevator Co.,125 N Main St,Ovid,Michigan,48866,43.006316,-84.3719661,,,,,,,,,,,,,,,
Montez Feed & Fertilizer,11410 Hwy 290 E,Chappell Hill,Texas,77426,30.1310162,-96.2184661,,,,,,,,,,,,,,,
River Valley Cooperative - Feed Mill,201 SW 6th Ave,Galva,Illinois,61434,41.1642609,-90.0492926,,,,,,,,,,,,,,,
Tyson Foods Inc River Valley Ingredients,4211 Emmett Sanders Rd,Pine Bluff,Arkansas,71601,34.2547586,-91.9432259,,,,,,,,,,,,,,,
Tyson Foods Inc River Valley Ingredients,4211 Emmett Sanders Rd,Pine Bluff,Arkansas,71601,34.2547586,-91.9432259,,,,,,,,,,,,,,,
Edgewater Mills of Warren Inc,10199 S Wayne Rd,Warren,Indiana,46792,40.6802022,-85.4282239,,,,,,,,,,,,,,,
Peterson Processing & Organic Feeds,314 E 1st St,Mountain Grove,Missouri,65711,37.1283988,-92.2613143,,,,,,,,,,,,,,,
Flying Colors Organic Bird Seed,84 Central Ave,Tarrytown,New York,10591,41.0782563,-73.8615455,,,,,,,,,,,,,,,
Wisco Feeds,114 S 1st St,Abbotsford,Wisconsin,54405,44.9448219,-90.3184054,,,,,,,,,,,,,,,
Keystone Mills,336 Martindale Rd,Ephrata Township,Pennsylvania,17522,40.1571207,-76.1131981,,,,,,,,,,,,,,,
Two Rivers Co-Op,210 S D St,Arkansas City,Kansas,67005,37.0605474,-97.0336721,,,,,,,,,,,,,,,
R.J. Mangold Grain Co,16112 S Front St,Lacoste,Texas,78039,29.3087259,-98.816717,,,,,,,,,,,,,,,
Passel Farms,443 John C Calhoun Dr #6200,Orangeburg,South Carolina,29115,33.4887822,-80.8469441,,,,,,,,,,,,,,,
Farm Strong Feed Company,20327 E Stackpole Rd,Mount Vernon,Washington,98274,48.3802084,-122.3071285,,,,,,,,,,,,,,,
Penny Newman Grain,619 S Williams St,Hanford,California,93230,36.3173644,-119.6518183,,,,,,,,,,,,,,,
Central New York Feeds,349 Carmer Rd,Jordan,New York,13080,43.076452,-76.47883,,,,,,,,,,,,,,,
Mighty Deer Lick Co,N15492 Township Line Rd G,Powers,Michigan,49874,45.673,-87.449,,,,,,,,,,,,,,,
JDH,117 E Commercial St,Portales,New Mexico,88130,34.1878094,-103.3380952,,,,,,,,,,,,,,,
Diamond V,2525 60th Ave SW,Cedar Rapids,Iowa,52404,41.9182232,-91.7046023,,,,,,,,,,,,,,,
Tyson Foods Cullman Blend Mill,2011 3rd Ave SE,Cullman,Alabama,35055,34.1461425,-86.8275237,,,,,,,,,,,,,,,
United Petfood USA,1011 W 11th St,Mishawaka,Indiana,46544,41.6521957,-86.1947152,,,,,,,,,,,,,,,
Cargill Feed Mill,,Byhalia,Mississippi,38611,34.8643015,-89.6535649,,,,,,,,,,,,,,,
Cold Copper Commodities Company LLC,1810 RM 1431,Marble Falls,Texas,78654,30.5832134,-98.2841257,,,,,,,,,,,,,,,
Scott Pro,810 E 1st St,Scott City,Kansas,67871,38.4866785,-100.8974679,,,,,,,,,,,,,,,
Billy Allen Horse Feed,500 E Rd 130,Scott City,Kansas,67871,38.4540004,-100.8960145,,,,,,,,,,,,,,,
Donald Johnson's feed mill,445 N 367,Searcy,Arkansas,72143,35.2570979,-91.6703899,,,,,,,,,,,,,,,
Purina fremont,330 E Cloverly Rd,Fremont,Nebraska,68025,41.4189997,-96.4952588,,,,,,,,,,,,,,,
Tully AG Center,20 Onondaga St,Tully,New York,13159,42.7960904,-76.1072053,,,,,,,,,,,,,,,
Hirsch Feed Ava Feed Mill,904 Lyle St,Ava,Missouri,65608,36.9577052,-92.6621321,,,,,,,,,,,,,,,
Cargill Animal Nutrition,4634 Radford Rd,Flowery Branch,Georgia,30542,34.1977725,-83.9131898,,,,,,,,,,,,,,,
Cargill Animal Nutrition,4634 Radford Rd,Flowery Branch,Georgia,30542,34.1977725,-83.9131898,,,,,,,,,,,,,,,
Kent Feeds,8679 Kent Feed Rd,Beardstown,Illinois,62618,40.0004704,-90.411135,,,,,,,,,,,,,,,
Stevens Feed of Middleburg,2801 Paxtonville Rd,Middleburg,Pennsylvania,17842,40.767593,-77.0882763,,,,,,,,,,,,,,,
Farmer's Choice Feed Mill,4777 Kirksey Rd,Kirksey,Kentucky,42054,36.7104262,-88.3961493,,,,,,,,,,,,,,,
Ampro Products,30 cow creek road,Aliceville,Alabama,354420,33.0669495,-88.2453897,,,,,,,,,,,,,,,
Texas Best Panels,15614 N US Hwy 183,Lometa,Texas,76853,31.2098803,-98.3891921,,,,,,,,,,,,,,,
JDH,1711 S 2300 E,Gooding,Idaho,83330,42.9500293,-114.6377563,,,,,,,,,,,,,,,
Mine Creek Feed,21507 E 931 Cir,Pleasanton,Kansas,66075,38.1549644,-94.70578,,,,,,,,,,,,,,,
Big Sky Organic Feed,2502 Chouteau St,Fort Benton,Montana,59442,47.8292725,-110.6615289,,,,,,,,,,,,,,,
Pilgrim's Pride Corporation,205 Edgewood Dr,Wingate,North Carolina,28174,34.9831023,-80.4667894,,,,,,,,,,,,,,,
Livestock Nutrition Center,"1713 B, 1713 Industrial Blvd",Cameron,Texas,76520,30.8781559,-96.9826658,,,,,,,,,,,,,,,
Land O'Lakes Purina Feed,102 SE Booth Bend Rd,McMinnville,Oregon,97128,45.1925163,-123.199295,,,,,,,,,,,,,,,
Key-Lix Livestock Supplements,325 W 600 S,Smithfield,Utah,84335,41.8241662,-111.8424917,,,,,,,,,,,,,,,
Agrifeed LLC,,,,,46.423669,-129.9427086,,,,,,,,,,,,,,,
Blue Stem Organic Feed Mill,1565 280th St,Webster City,Iowa,50595,42.3841795,-93.8642777,,,,,,,,,,,,,,,
Ridley Block Operations,1057 US-69,Pittsburg,Kansas,66762,37.3724039,-94.7108229,,,,,,,,,,,,,,,
Mesquite Mills,2805 County Rd 1200 E,Loogootee,Indiana,47553,38.6979339,-86.942803,,,,,,,,,,,,,,,
Equus International Corporation,7310 N Anway Rd,Marana,Arizona,85653,32.337902,-111.320139,,,,,,,,,,,,,,,
"West Feeds, Inc",107 South Roberts St,West,Texas,76691,31.8003276,-97.0909996,,,,,,,,,,,,,,,
Norbest Feed Mill,"Unnamed Rd, Moroni, UT 84646",Moroni,Utah,84646,39.5011935,-111.5818731,,,,,,,,,,,,,,,
"Nutrition 101, LLC",304 Navajo Dr,Archdale,North Carolina,27263,35.895768,-79.9562543,,,,,,,,,,,,,,,
"Nutrition 101, LLC",304 Navajo Dr,Archdale,North Carolina,27263,35.895768,-79.9562543,,,,,,,,,,,,,,,
Purina Animal Nutrition Plant,307 N Avenue C,Clifton,Texas,76634,31.7869188,-97.57496,,,,,,,,,,,,,,,
