Grain Elevators,street,city,state,postal_code,latitude,longitude,,,,,,,,,,,,
Tidewater Grain Company,650 Parks Field Dr,Kannapolis,North Carolina,28081,35.5171965,-80.7076169,,,,,,,,,,,,
Clarkton Grain Co,569-363 W North Railroad St,Clarkton,North Carolina,28433,34.4921641,-78.661126,,,,,,,,,,,,
Smithfield Grain - Hamer Grain Elevator,,Hamer,South Carolina,29547,34.482712,-79.3259534,,,,,,,,,,,,
Ajg cabinet counter tops,,,,,35.2053334,-80.8221609,,,,,,,,,,,,
Viterra,2844 Clear View Rd,Cambridge,Wisconsin,53523,43.0042653,-89.0511913,,,,,,,,,,,,
Hostetter Grain Inc - Cochranville,3307 Limestone Rd,Cochranville,Pennsylvania,19330,39.9091579,-75.9093132,,,,,,,,,,,,
"Tempel Grain Elevators, LLP",100 S Main St,Wiley,Colorado,81092,38.150845,-102.7194734,,,,,,,,,,,,
Sugar City Grain Co,109 Colorado St,Sugar City,Colorado,81076,38.2343603,-103.6626489,,,,,,,,,,,,
Garman Grain LLC,301 Weaver Rd,Manheim,Pennsylvania,17545,40.1311052,-76.4245823,,,,,,,,,,,,
Bethel Grain LLC,32 Wintersville Rd,Myerstown,Pennsylvania,17067,40.4481228,-76.2792884,,,,,,,,,,,,
BANNER COOP,301 Division St,Union City,Oklahoma,73090,35.3937889,-97.9394472,,,,,,,,,,,,
Sooner Plains Ag,200 1st St,Loyal,Oklahoma,73756,35.971869,-98.1157795,,,,,,,,,,,,
Hensgens Grain Elevator,1110 W Mill St,Crowley,Louisiana,70526,30.2033108,-92.3810945,,,,,,,,,,,,
Rock Valley Grain Corporation,6119 IN-218,Walton,Indiana,46994,40.6638291,-86.2573122,,,,,,,,,,,,
Target Elevator,2525 Piedmont Rd NE,Atlanta,Georgia,30324,33.8245489,-84.3641509,,,,,,,,,,,,
THE ANDERSONS INC,313 Railroad St,Riverdale,Nebraska,68870,40.7827644,-99.1615371,,,,,,,,,,,,
CIE - Hartley Grain,100 S Cob St,Elwood,Indiana,46036,40.3183785,-85.8989256,,,,,,,,,,,,
Sedalia Grain Co.,Railroad St,Frankfort,Indiana,46041,40.4167995,-86.5159599,,,,,,,,,,,,
"Kokomo Grain Co., Inc.",10 Haun Dr,Burlington,Indiana,46915,40.4890593,-86.3868416,,,,,,,,,,,,
Denham Agri-Center Inc,5622 W 660 N,Winamac,Indiana,46996,41.1523251,-86.7108976,,,,,,,,,,,,
Escambia Grain Corporation,5650 Arthur Brown Rd,Walnut Hill,Florida,32568,30.8878875,-87.4923783,,,,,,,,,,,,
Putnam Farmers Co-Op,80 Front St,Putnam,Connecticut,6260,41.9160063,-71.9072343,,,,,,,,,,,,
"Kokomo Grain Co., Inc.",1838 US-36,Markleville,Indiana,46056,40.005092,-85.6353373,,,,,,,,,,,,
Hontz Elevator,20 N Plains Industrial Rd,Wallingford,Connecticut,6492,41.4855911,-72.8124022,,,,,,,,,,,,
"Southeastern Grain Company, Kinston NC",461 Taylor Heath Rd,Kinston,North Carolina,28501,35.3500159,-77.580085,,,,,,,,,,,,
Perdue ECOP (East Carolina Oilseed Processor),2015 NC-45 North,Pantego,North Carolina,27860,35.644802,-76.5885009,,,,,,,,,,,,
J C Howard Grain Co,3326 Live Oak Hog County Rd,Deep Run,North Carolina,28525,35.107126,-77.6915197,,,,,,,,,,,,
"Hanenkratt Grain Co, Inc.",US-24,Idaville,Indiana,47950,40.7578551,-86.647199,,,,,,,,,,,,
Kinston Grain,8000 Caswell Station Rd,Kinston,North Carolina,28501,35.2347607,-77.5216268,,,,,,,,,,,,
"Mexico Elevator, a Division of Mennel",2602 W 3rd St,Mexico,Indiana,46958,40.8246276,-86.1225498,,,,,,,,,,,,
Orland Community Elevator,5820 IN-327,Orland,Indiana,46776,41.727092,-85.1705345,,,,,,,,,,,,
Cromwell Grain A Division-Zolman,514 N Jefferson St,Cromwell,Indiana,46732,41.4051347,-85.6125476,,,,,,,,,,,,
Southeastern Grain Co LLC,202 Westover Rd,Clinton,North Carolina,28328,34.9918893,-78.3350455,,,,,,,,,,,,
Jones County Grain,2852 NC-58,Trenton,North Carolina,28585,35.085782,-77.444817,,,,,,,,,,,,
Goldsboro Milling Grain Company,3300 N Memorial Dr,Greenville,North Carolina,27834,35.6721554,-77.3609222,,,,,,,,,,,,
"Southeastern Grain Company, Mount Olive NC",770 S U.S. 117 Alt Hwy,Calypso,North Carolina,28325,35.1669769,-78.0918426,,,,,,,,,,,,
"Southeastern Grain Company, Walstonburg NC",101 W Mill St,Walstonburg,North Carolina,27888,35.5929947,-77.6988535,,,,,,,,,,,,
Hanenkratt Grain Co,304 E Cross St,Idaville,Indiana,47950,40.7591231,-86.6505409,,,,,,,,,,,,
Eastern Grain LLC,1131 Galloway Rd,Grimesland,North Carolina,27837,35.5526324,-77.2120553,,,,,,,,,,,,
Perdue AgriBusiness - Pantego Grain Elevator,1461 Swindell Rd,Pantego,North Carolina,27860,35.6100444,-76.6771625,,,,,,,,,,,,
Goldsboro Milling Grain Co,3095 Pope Farm Rd,Stantonsburg,North Carolina,27883,35.517288,-77.8112978,,,,,,,,,,,,
Lake Phelps Grain,NC-1163,Wilson,North Carolina,27893,35.7032922,-77.9051843,,,,,,,,,,,,
E B Grain,316 Barnum Rd,Rocky Mount,North Carolina,27804,35.9616555,-77.7913328,,,,,,,,,,,,
Scoular,1870 Burnett Blvd,Wilmington,North Carolina,28401,34.208777,-77.949069,,,,,,,,,,,,
Pryor Grain Co Inc,9597 US-29 BUS,Ruffin,North Carolina,27326,36.4476154,-79.5443103,,,,,,,,,,,,
Stony Knoll Farms,2906 McGinnes Rd,Crumpton,Maryland,21628,39.2287542,-75.9199047,,,,,,,,,,,,
Mountaire Farms Grain Elevator -- Millington,414 Back St,Millington,Maryland,21651,39.2595095,-75.8352184,,,,,,,,,,,,
Roggen Northern Elevator,416 N Railway St,Brush,Colorado,80723,40.2541131,-103.6250454,,,,,,,,,,,,
Perdue AgriBusiness - Lynch Grain Elevator,11545 Lynch Rd,Worton,Maryland,21678,39.294197,-76.0618286,,,,,,,,,,,,
Nagel Farm Service - Harmony,6202 Nagel Rd,Preston,Maryland,21655,38.778368,-75.872405,,,,,,,,,,,,
Perdue Farms Inc,410 Needwood Ave,Easton,Maryland,21601,38.7676881,-76.0692813,,,,,,,,,,,,
Perdue AgriBusiness - Bishop Grain Elevator,9924 Bishop Rd,Bishopville,Maryland,21813,38.4286726,-75.2197182,,,,,,,,,,,,
"The Andersons, Inc.",801 S Reynolds Rd,Toledo,Ohio,43615,41.6262315,-83.6606028,,,,,,,,,,,,
Perdue AgriBusiness - Sudlersville Grain Elevator,201 E Main St,Sudlersville,Maryland,21668,39.1891224,-75.8554114,,,,,,,,,,,,
Pacific Ag Commodities,14 Converse Ct,Sacramento,California,95835,38.6775485,-121.5246599,,,,,,,,,,,,
Penwell Grain Co,3107 155th St,Villisca,Iowa,50864,41.0801032,-94.9842394,,,,,,,,,,,,
Mason Hall Grain Co,4898 Mason Hall-Kenton Rd,Kenton,Tennessee,38233,36.2059618,-89.0931077,,,,,,,,,,,,
The Andersons - Union City,315 Dr Martin Luther King Jr Dr,Union City,Tennessee,38261,36.4288874,-89.0593191,,,,,,,,,,,,
ADM/Choctaw Heloise,225 Heloise Loop,Finley,Tennessee,38030,36.0525249,-89.6738073,,,,,,,,,,,,
Adm Southern Cotton,2800 Chelsea Ave,Memphis,Tennessee,38108,35.174849,-89.9645728,,,,,,,,,,,,
Viterra,25 27th St SE,Minot,North Dakota,58701,48.2360367,-101.2522641,,,,,,,,,,,,
Consolidated Grain and Barge Co.,2140 Co Rd 553,Caruthersville,Missouri,63830,36.0735757,-89.6865692,,,,,,,,,,,,
CHS SunPrairie Sunflower House,2500 Valley St,Minot,North Dakota,58701,48.2205519,-101.2598377,,,,,,,,,,,,
Sun Prairie Grain,2550 Valley St,Minot,North Dakota,58701,48.2183362,-101.2571302,,,,,,,,,,,,
Sun Prairie Grain,318 1st Ave NE,Minot,North Dakota,58703,48.2374833,-101.2873965,,,,,,,,,,,,
Consolidated Grain and Barge Co.,20314 MO-77,East Prairie,Missouri,63845,36.5870648,-89.2141326,,,,,,,,,,,,
Bunge Grain,,,Arkansas,,35.6562519,-89.927926,,,,,,,,,,,,
Cargill Inc,1041 W Derby Ave,Auburndale,Florida,33823,28.0559092,-81.7972948,,,,,,,,,,,,
Farmers Grain Company,285 E Broadway St,Roseville,Illinois,61473,40.7299379,-90.6612402,,,,,,,,,,,,
Viterra,3110 California St NE,Minneapolis,Minnesota,55418,45.0247335,-93.2695275,,,,,,,,,,,,
Perdue Agribusiness LLC - Hamer Grain Elevator,,Hamer,South Carolina,29547,34.482712,-79.3259534,,,,,,,,,,,,
Hansen-Mueller Grain,648 24th Ave SE,Minneapolis,Minnesota,55414,44.9806072,-93.2196865,,,,,,,,,,,,
Farm City Elevator Sharon,2-98 Natural Way,Sharon,Wisconsin,53585,42.5062716,-88.7388383,,,,,,,,,,,,
Agrowstar LLC,284 W Willow Grove Rd,Lynchburg,South Carolina,29080,34.0563355,-80.0805194,,,,,,,,,,,,
Kelley Grain Co,1501 North Jones Road,Olanta,South Carolina,29114,33.97936,-79.9049029,,,,,,,,,,,,
J-Ham Farms & Grain Inc.,1838 Rowan Rd,Lumberton,North Carolina,28358,34.5578869,-79.0300825,,,,,,,,,,,,
Allied Grain Co,18750 US-71,Blomkest,Minnesota,56216,44.9419108,-95.04498,,,,,,,,,,,,
River Land AG,2901 5th St NE,Minneapolis,Minnesota,55418,45.020098,-93.2593708,,,,,,,,,,,,
Checkerboard grain elavator,3716 Cheatham Ave,Minneapolis,Minnesota,55406,44.9349868,-93.2276992,,,,,,,,,,,,
Pleasant Grain LLC,N5670 Gutzmer Rd,Monticello,Wisconsin,53570,42.7108498,-89.5973244,,,,,,,,,,,,
See Mor Grain Co Inc,12785 Co Rd O,Darlington,Wisconsin,53530,42.6776085,-90.2509166,,,,,,,,,,,,
Northwest Grains International LLC,7400 Metro Blvd Suite 308,Minneapolis,Minnesota,55439,44.8686103,-93.3526535,,,,,,,,,,,,
River Country Co-Op,1180 Concord St N,South St Paul,Minnesota,55075,44.9084451,-93.0492522,,,,,,,,,,,,
The De Long Co INC.,N3240 DeLong Dr,Juneau,Wisconsin,53039,43.3112636,-88.7364231,,,,,,,,,,,,
Appell Grain,5883 Co Rd P,Shullsburg,Wisconsin,53586,42.5787963,-90.1339721,,,,,,,,,,,,
Wolf River Grain,2417 Stockton Rd,Stevens Point,Wisconsin,54482,44.5122,-89.4622,,,,,,,,,,,,
"Grantland Grain, LLC",5627 Lone Elm Tree Rd,Potosi,Wisconsin,53820,42.7463511,-90.698987,,,,,,,,,,,,
Whiteside Grain & Storage,800 E 10th St,Rock Falls,Illinois,61071,41.7736932,-89.6800634,,,,,,,,,,,,
"Tettens Grain, Inc",,,,,41.8675274,-89.598774,,,,,,,,,,,,
West Brooklyn Farmers Co-Op,2697 W Brooklyn Rd,West Brooklyn,Illinois,61378,41.6939042,-89.1110525,,,,,,,,,,,,
Stanley Penn Hay & Grain,97 SW 3rd Ave,Dania Beach,Florida,33004,26.0504325,-80.1464377,,,,,,,,,,,,
Wallowa County Grain Growers,62311 Hunter Rd,La Grande,Oregon,97850,45.3505724,-118.0445371,,,,,,,,,,,,
Ludlow Co-Op Grain Elevator Co,1181 N 550 East Rd,Thawville,Illinois,60968,40.6752462,-88.0174164,,,,,,,,,,,,
CHS Illinois - Morris West,200 W River Rd,Morris,Illinois,60450,41.3552618,-88.4292776,,,,,,,,,,,,
CHS Illinois - Route 47 Grain,14676 IL-47,Newark,Illinois,60541,41.508196,-88.431786,,,,,,,,,,,,
Legacy Grain Cooperative,402 Walnut St,Stonington,Illinois,62567,39.6396995,-89.1911856,,,,,,,,,,,,
Bartlett,5801 NE Birmingham Rd,Kansas City,Missouri,64117,39.1538694,-94.5123923,,,,,,,,,,,,
Gavilon Ingredients LLC,4151 N Mulberry Dr,Kansas City,Missouri,64116,39.1699332,-94.5973849,,,,,,,,,,,,
CHS Illinois - Morris East,301 Griggs Dr,Morris,Illinois,60450,41.3552745,-88.4267872,,,,,,,,,,,,
Milne Grain Elevator,34497 Trinity Rd,Oregon,Missouri,64473,39.9025539,-95.0804601,,,,,,,,,,,,
Roth Grains,32503 MO-2,Harrisonville,Missouri,64701,38.643209,-94.2210234,,,,,,,,,,,,
Cargill Inc,26949 Holt 290,Forest City,Missouri,64451,39.9854403,-95.1991577,,,,,,,,,,,,
Hilltop Grain Co.,1650 MO-116,Polo,Missouri,64671,39.5673287,-94.0080565,,,,,,,,,,,,
Roth Grains,75 MO-58,Centerview,Missouri,64019,38.7758079,-93.835926,,,,,,,,,,,,
Ray Carroll Hardin,202 E Main St,Hardin,Missouri,64035,39.2693808,-93.8321827,,,,,,,,,,,,
W E King & Son Grain,5920 Simmons Rd NW,Ash,North Carolina,28420,34.0719683,-78.5210854,,,,,,,,,,,,
Mid-South Milling Co,213 Central Ave,Kansas City,Kansas,66118,39.1010208,-94.6098175,,,,,,,,,,,,
"Perdue AgriBusiness, LLC",120 US-130,Fieldsboro,New Jersey,8505,40.1591696,-74.6970153,,,,,,,,,,,,
Mountaire Farms Grain Elevator,3009 N Little Creek Rd,Dover,Delaware,19901,39.1692305,-75.4659772,,,,,,,,,,,,
Perdue AgriBusiness - Red Bird Grain Elevator,112 Cemetery Rd,Woodstown,New Jersey,8098,39.6324458,-75.3578176,,,,,,,,,,,,
Cargill Grain & Oilseeds Supply,200 N 19th St,Tampa,Florida,33605,27.9495194,-82.4412302,,,,,,,,,,,,
Pacific Grain & Foods,3630 E Wawona Ave,Fresno,California,93725,36.6829363,-119.7243568,,,,,,,,,,,,
Penny-Newman Grain Co,2691 S Cedar Ave,Fresno,California,93725,36.703573,-119.7543708,,,,,,,,,,,,
AMS Grain,1217 Scarlets Trail,Yadkinville,North Carolina,27055,36.0768755,-80.6468498,,,,,,,,,,,,
Integrated Grain & Milling,315 N H St,Fresno,California,93701,36.7472771,-119.8094829,,,,,,,,,,,,
Integrated Grain & Milling,2020 S East Ave,Fresno,California,93721,36.7230029,-119.7730474,,,,,,,,,,,,
Consolidated Grain and Barge Co.,411 River St,Peru,Illinois,61354,41.3236353,-89.1135662,,,,,,,,,,,,
DeLong Company Inc,10338 Ashville Pike,Lockbourne,Ohio,43137,39.781741,-82.9481359,,,,,,,,,,,,
"Atlanta Grain, a Division of Mennel",26030 State Rte 207,New Holland,Ohio,43145,39.5614319,-83.1895279,,,,,,,,,,,,
Marshall Grain Co,237 W Main St,Amanda,Ohio,43102,39.6505851,-82.74691,,,,,,,,,,,,
Frey Commodities,20514 Stonerock Rd,Circleville,Ohio,43113,39.639171,-83.0935184,,,,,,,,,,,,
Valley Grain,4 Railroad St,Kingston,Ohio,45644,39.473243,-82.916854,,,,,,,,,,,,
Ardent Mills,461 Commerce Square,Columbus,Ohio,43228,39.9442685,-83.1068562,,,,,,,,,,,,
Ronald S. Keener Grain,1361 Cloverleaf Rd,Mount Joy,Pennsylvania,17552,40.1516048,-76.5512165,,,,,,,,,,,,
Arentz Hays & Grain Inc,474 Christ Church Rd,Littlestown,Pennsylvania,17340,39.766273,-77.0591837,,,,,,,,,,,,
Perdue AgriBusiness - Selinsgrove Grain Elevator,133 Lorian Dr,Selinsgrove,Pennsylvania,17870,40.8083054,-76.9177568,,,,,,,,,,,,
Perdue Agribusiness LLC - Palmyra Grain Elevator,475 E High St,Palmyra,Pennsylvania,17078,40.3140458,-76.5933472,,,,,,,,,,,,
Key Cooperative Cenex,102 Lincoln St NE,Bondurant,Iowa,50035,41.7026615,-93.4610767,,,,,,,,,,,,
AG First Farmers Co-Op,204 1st St S,Brookings,South Dakota,57006,44.3065236,-96.801066,,,,,,,,,,,,
Mid-Hudson Elevator Co,761 Silver Lake-Scotchtown Rd,Middletown,New York,10941,41.4788952,-74.3720632,,,,,,,,,,,,
Otis Elevator Co,229 W Main St,Clarksburg,West Virginia,26301,39.2788171,-80.3388686,,,,,,,,,,,,
Eastern Michigan Grain Inc,10730 N Railroad St,Emmett,Michigan,48022,42.9903509,-82.758371,,,,,,,,,,,,
Star of the West Milling Co.,10730 N Railroad St,Emmett,Michigan,48022,42.9903401,-82.7607696,,,,,,,,,,,,
AGP Grain Marketing LLC,1401 NM-209,Clovis,New Mexico,88101,34.4632839,-103.1953037,,,,,,,,,,,,
J & a Grain,5062 W Base Rd,Greensburg,Indiana,47240,39.3357006,-85.5769953,,,,,,,,,,,,
Consolidated Grain and Barge Co.,100 Mill St,Elizabethtown,Indiana,47232,39.1361877,-85.8134028,,,,,,,,,,,,
Azalia Elevator,6701 E 800 S,Elizabethtown,Indiana,47232,39.0847854,-85.8456497,,,,,,,,,,,,
Crystal Springs Grain LLC,3240 Hurricane Rd,Franklin,Indiana,46131,39.524723,-86.036724,,,,,,,,,,,,
Premier Ag Columbus Grain,1442 W 550 N,Columbus,Indiana,47203,39.2817306,-85.9425664,,,,,,,,,,,,
Consolidated Grain Company,101 2nd St,Elizabethtown,Indiana,47232,39.1358904,-85.8124354,,,,,,,,,,,,
Harvest Land Co-op,2021 U.S. Hwy 40,Dunreith,Indiana,47337,39.8026819,-85.4249068,,,,,,,,,,,,
Pic-Nic Grain Inc,7659 S County Rd 325 E,Lewisville,Indiana,47352,39.8207446,-85.3246854,,,,,,,,,,,,
Azalia Elevator,5695 E 350 S,Waldron,Indiana,46182,39.4747247,-85.6735617,,,,,,,,,,,,
Easterday Brothers Grain Co,2720 IN-337,Orleans,Indiana,47452,38.5971541,-86.3363492,,,,,,,,,,,,
Premier AG Co-Op Inc,7798 IN-3,Greensburg,Indiana,47240,39.2231045,-85.5741095,,,,,,,,,,,,
C E Grain Co,3880 Audrain Rd 541,Farber,Missouri,63345,39.2812528,-91.549067,,,,,,,,,,,,
Consolidated Grain and Barge Co.,215 Marine St,Madison,Indiana,47250,38.7381706,-85.4037628,,,,,,,,,,,,
Zolman Farms Inc,3370 E Pierceton Rd,Warsaw,Indiana,46580,41.204864,-85.7775209,,,,,,,,,,,,
Saale Farm & Grain Co,535 Saale Rd,West Alton,Missouri,63386,38.8838996,-90.2817001,,,,,,,,,,,,
Bunge,487 E Gings Rd,Rushville,Indiana,46173,39.6765845,-85.4366093,,,,,,,,,,,,
Agri-Foods,1035 State Hwy D,Hawk Point,Missouri,63349,39.0144948,-91.1279028,,,,,,,,,,,,
Cargill,430 Front St,St. Louis,Missouri,63102,38.6239907,-90.1745103,,,,,,,,,,,,
Ldi-Lotus Grain,1768 US-52,Rushville,Indiana,46173,39.6163593,-85.4780293,,,,,,,,,,,,
CGB Organic Grain,800 Market St Ste. 1500A,St. Louis,Missouri,63101,38.6260299,-90.19392,,,,,,,,,,,,
COFCO Cahokia LLC,195 American Grain St,East St Louis,Illinois,62201,38.5744374,-90.2167085,,,,,,,,,,,,
Ray Carroll St. Louis,350 S Sarah St,St. Louis,Missouri,63110,38.6335643,-90.247427,,,,,,,,,,,,
"Oakley Grain, Inc.",191 American Grain St,East St Louis,Illinois,62201,38.5696052,-90.2178579,,,,,,,,,,,,
Italgrani,530 Maryville Centre Dr,St. Louis,Missouri,63141,38.641005,-90.5005535,,,,,,,,,,,,
Richards Elevator,9327 Main St,Taylorsville,Indiana,47280,39.2947222,-85.9509964,,,,,,,,,,,,
COFCO International Grain Elevator,960 E Bay St,Milwaukee,Wisconsin,53207,43.0119521,-87.9014348,,,,,,,,,,,,
Columbia Grain,400 S 4th St #808,Minneapolis,Minnesota,55415,44.9775743,-93.2636559,,,,,,,,,,,,
Cortland Grain,,,,,38.9729385,-85.962325,,,,,,,,,,,,
Nexus Co-op,174 1st Ave W,Alden,Minnesota,56009,43.6702403,-93.578477,,,,,,,,,,,,
"F.W. Cobs Company, Inc.",720 Hall St,Stewart,Minnesota,55385,44.723303,-94.4870146,,,,,,,,,,,,
Harvest Land,101 Pine St,Comfrey,Minnesota,56019,44.1094404,-94.9011188,,,,,,,,,,,,
Crystal Valley,303 1st St E,Vernon Center,Minnesota,56090,43.9649696,-94.1646881,,,,,,,,,,,,
Glenville Grain,210 US-65,Glenville,Minnesota,56036,43.5722728,-93.2852343,,,,,,,,,,,,
Perdue AgriBusiness - Montross Grain Elevator,1478 Zacata Rd,Montross,Virginia,22520,38.1122251,-76.795272,,,,,,,,,,,,
"Tempel Grain Elevators, LLP",150 Pikes Peak Ave,Bethune,Colorado,80805,39.3028429,-102.4273979,,,,,,,,,,,,
Kearney Elevator Co,4355 Kearney St,Denver,Colorado,80216,39.777242,-104.91914,,,,,,,,,,,,
"The DeLong Co., Inc.",8550 Ridgefield Rd,Crystal Lake,Illinois,60012,42.2691549,-88.3676772,,,,,,,,,,,,
Seegers Grain,8550 Ridgefield Rd,Crystal Lake,Illinois,60012,42.2692046,-88.3677158,,,,,,,,,,,,
Walton Feed Grain Elevator,,Montpelier,Idaho,83254,42.3221498,-111.2977044,,,,,,,,,,,,
Spackman Grain Co.,,,,,41.9254974,-111.8103254,,,,,,,,,,,,
Central Washington Grain Growers -- Douglas,25233120015,Waterville,WA,98858,47.623289,-120.0006302,,,,,,,,,,,,
Stade Grain Co,4312 Pioneer Rd,McHenry,Illinois,60051,42.3891691,-88.2764635,,,,,,,,,,,,
Bluford Grain Co,13413 N Markham Ln,Bluford,Illinois,62814,38.3169834,-88.7270618,,,,,,,,,,,,
"Kaneville Seed & Feed Inc, 2 S 164 Merrill Ave. Kaneville, IL",2 S 164 Merrill Avenue,Kaneville,Illinois,60144,41.8343537,-88.5179187,,,,,,,,,,,,
Hillsdale Elevator,116 Progress Ln,Geneseo,Illinois,61254,41.451332,-90.1389945,,,,,,,,,,,,
Springport Elevator,206 Railroad St,Springport,Michigan,49284,42.38008,-84.691796,,,,,,,,,,,,
John Marion Inc,8481 Britton Hwy,Britton,Michigan,49229,42.0168158,-83.8296697,,,,,,,,,,,,
Miller Poultry (Granary),6945 IN-327,Orland,Indiana,46776,41.7432438,-85.1719544,,,,,,,,,,,,
Wheeler Brothers Grain Co,1558 NE 162nd St,Miami,Florida,33162,25.9245059,-80.1688959,,,,,,,,,,,,
Bruce Oakley Cahokia Grain Terminal American Milling LP,189 American Grain St,Sauget,Illinois,62206,38.5813945,-90.2079453,,,,,,,,,,,,
Waverly Growers Co-Op,7000 Waverly Rd,Waverly,Florida,33877,27.9787821,-81.6144006,,,,,,,,,,,,
Gavilon Grain LLC,3237 East St #326,Roachdale,Indiana,46172,39.8525865,-86.7897618,,,,,,,,,,,,
Dorsett Brothers Inc,6055 W McClure Rd,Martinsville,Indiana,46151,39.5345812,-86.5417985,,,,,,,,,,,,
Littlejohn Grain Inc.,,Martinsville,Illinois,62442,39.3350793,-87.8802737,,,,,,,,,,,,
Northern Ohio Grain Co-Op Inc Grand Rapids Branch,13385 Ludwig Rd,Grand Rapids,Ohio,43522,41.4184112,-83.8603973,,,,,,,,,,,,
Hord Elevator - Edison Branch,6775 Township Rd 66,Edison,Ohio,43320,40.608091,-82.937814,,,,,,,,,,,,
Mid Wood Inc.,286 Walbridge St,Cygnet,Ohio,43413,41.2421574,-83.6445733,,,,,,,,,,,,
Northwood Equity Elevator,600 Lander Ave,Northwood,North Dakota,58267,47.7368119,-97.5663751,,,,,,,,,,,,
"The Andersons, Inc.",3822 OH-120,Metamora,Ohio,43540,41.7153892,-83.9343032,,,,,,,,,,,,
Deatsman Grain,209 Smith St,Leesburg,Indiana,46538,41.3292733,-85.8446215,,,,,,,,,,,,
"Premier Grain, Lyndon",3540 OH-28,South Salem,Ohio,45681,39.3529457,-83.3120821,,,,,,,,,,,,
Consolidated Grain and Barge Co.,4837 River Rd,Cincinnati,Ohio,45233,39.0821584,-84.6369653,,,,,,,,,,,,
Consolidated Grain and Barge Co.,3164 Southside Ave,Cincinnati,Ohio,45204,39.0848126,-84.572206,,,,,,,,,,,,
Cargill Inc,6761 Kellogg Rd,Cincinnati,Ohio,45230,39.0477459,-84.400756,,,,,,,,,,,,
Hemker Grain,15970 Jonestown Rd,Venedocia,Ohio,45894,40.771923,-84.5140838,,,,,,,,,,,,
"Premier Grain, Melvin",238 Melvin Rd,Wilmington,Ohio,45177,39.4747393,-83.7100957,,,,,,,,,,,,
Reading Grain & Lumber Inc,121 Franklin St,Reading,Kansas,66868,38.5184608,-95.9586137,,,,,,,,,,,,
Ritter Grain Services,300 Adamson Rd,Marked Tree,Arkansas,72365,35.5365092,-90.430681,,,,,,,,,,,,
Farm City Elevator,,Lake Geneva,Wisconsin,53147,42.5086763,-88.4852773,,,,,,,,,,,,
Los Angeles Harbor Grain Terminal,2422 E Sepulveda Blvd,Long Beach,California,90810,33.8033829,-118.2231487,,,,,,,,,,,,
Lake Phelps Grain Inc,60 NC-94,Swanquarter,North Carolina,27885,35.442033,-76.2094879,,,,,,,,,,,,
Lake Phelps Grain Inc,10016 US-64,Creswell,North Carolina,27928,35.8823109,-76.4143909,,,,,,,,,,,,
Smithfield Grain (Weeksville),685 Dry Ridge Rd,Elizabeth City,North Carolina,27909,36.1800616,-76.2092266,,,,,,,,,,,,
Smithfield Grain (Morgan's Corner),839 Sandy Rd,Elizabeth City,North Carolina,27909,36.3873015,-76.3763101,,,,,,,,,,,,
Parkway AG Supply,1213 Hassell Rd,Elizabeth City,North Carolina,27909,36.4159,-76.3489,,,,,,,,,,,,
Harmony Agri Services Inc,25 2nd St NE,Harmony,Minnesota,55939,43.5559304,-92.0093856,,,,,,,,,,,,
Nexus Cooperative,89096 Oakland Ave,Oakland,Minnesota,56007,43.6733894,-93.0873031,,,,,,,,,,,,
CHS Wykoff,309 N 1st St,Wykoff,Minnesota,55990,43.710186,-92.2638015,,,,,,,,,,,,
Stateline Cooperative Marna,8351-8335 430th Ave,Blue Earth,Minnesota,56013,43.6057866,-94.0069472,,,,,,,,,,,,
CHS,208 N Main St,Ostrander,Minnesota,55961,43.614865,-92.4296213,,,,,,,,,,,,
Northern Country Co-Op,416 1st St,Lyle,Minnesota,55953,43.5055054,-92.9449054,,,,,,,,,,,,
Schmitz Grain,,Currie,Minnesota,56123,44.0650485,-95.6651285,,,,,,,,,,,,
CHS Northern Grain,16943 Center St E,St Hilaire,Minnesota,56754,48.0180402,-96.1106683,,,,,,,,,,,,
Farmers Co-op Elevator,600 Debra Dr,Lewiston,Minnesota,55952,43.9892819,-91.8596525,,,,,,,,,,,,
Koch Ag-Chemicals Application,74757 110th St,Le Roy,Minnesota,55951,43.5147551,-92.5541966,,,,,,,,,,,,
United Grain Corporation,1927 Elevator Way,Vancouver,Washington,98660,45.6313092,-122.6911832,,,,,,,,,,,,
Nexus,105 Commerce St SW,Adams,Minnesota,55909,43.5641134,-92.7153309,,,,,,,,,,,,
United Grain Corporation,1905 NW Harborside Dr,Vancouver,Washington,98660,45.6309901,-122.6934732,,,,,,,,,,,,
Landus,53086 50th St,Bricelyn,Minnesota,56014,43.5576583,-93.8066883,,,,,,,,,,,,
Nexus Co-op,53872 270th St,Lansing,Minnesota,55950,43.7468321,-92.9727959,,,,,,,,,,,,
Audubon Co-Op Elevator Association,445 Front St,Audubon,Minnesota,56511,46.860867,-95.9827543,,,,,,,,,,,,
Sargeant Grain,302 Main St NW,Sargeant,Minnesota,55973,43.8053479,-92.8051902,,,,,,,,,,,,
Amboy Grain Inc,11221 US-169,Amboy,Minnesota,56010,43.8819779,-94.1678458,,,,,,,,,,,,
Nexus Co-op,66875 180th St,Conger,Minnesota,56020,43.6154213,-93.530619,,,,,,,,,,,,
Scoular,5000 Deepwater Terminal Rd,Richmond,Virginia,23234,37.4539998,-77.4217936,,,,,,,,,,,,
Waubun Elevator,1120 Dutch St,Waubun,Minnesota,56589,47.1823311,-95.9453013,,,,,,,,,,,,
